id,airline,flight,source,departure,stops,arrival,destination,class,duration,days_left,price
0,Vistara,UK-930,Mumbai,Early_Morning,one,Night,Chennai,Business,,40.0,64173
1,Air_India,AI-539,Chennai,Evening,one,Morning,Mumbai,Economy,16.08,26.0,4357
2,SpiceJet,SG-8107,Delhi,Early_Morning,zero,Morning,Chennai,Economy,2.92,25.0,3251
3,,0.00E+00,Hyderabad,Early_Morning,zero,Morning,Bangalore,Economy,1.5,22.0,1776
4,Air_India,AI-569,Chennai,Early_Morning,one,Morning,Bangalore,Economy,4.83,20.0,3584
5,AirAsia,I5-620,Mumbai,Early_Morning,one,Morning,Delhi,Economy,6.17,,2336
6,SpiceJet,SG-3027,Bangalore,,one,Night,Kolkata,Economy,15.67,31.0,7553
7,Indigo,0.00E+00,Chennai,Evening,one,Night,Hyderabad,Economy,4.42,38.0,6880
8,Indigo,0.00E+00,Kolkata,Morning,one,Evening,Mumbai,Economy,4.67,35.0,6521
9,GO_FIRST,G8-1404,Delhi,Morning,one,Evening,Mumbai,Economy,7.08,28.0,4793
10,,I5-1528,Bangalore,Early_Morning,one,Night,Mumbai,Economy,16.08,15.0,6193
11,Air_India,AI-865,Delhi,Morning,one,Morning,Chennai,Business,24.25,17.0,45257
12,Vistara,UK-828,Chennai,Early_Morning,one,Evening,Delhi,Economy,12.75,39.0,5606
13,Air_India,AI-570,Mumbai,,one,Evening,Delhi,Business,14.5,6.0,71513
14,Air_India,AI-768,Kolkata,Afternoon,one,Morning,Chennai,Economy,17.42,47.0,4969
15,,0.00E+00,Delhi,,one,Night,Mumbai,Economy,5.33,,6932
16,Air_India,AI-619,Mumbai,Night,one,Morning,Delhi,Business,12.75,24.0,41101
17,Indigo,0.00E+00,Hyderabad,,one,Night,Chennai,Economy,8.25,22.0,5220
18,Vistara,UK-832,Chennai,Early_Morning,two_or_more,Night,Bangalore,Economy,16.42,30.0,7172
19,Air_India,AI-675,Mumbai,Early_Morning,one,Evening,Delhi,Economy,11.83,36.0,5798
20,Air_India,AI-683,Mumbai,Night,one,Night,Bangalore,Economy,25.5,5.0,14501
21,AirAsia,I5-1561,Bangalore,Evening,zero,Night,Mumbai,Economy,1.75,31.0,2201
22,Air_India,AI-507,Bangalore,Early_Morning,one,Evening,Delhi,Economy,9.75,,19774
23,Air_India,AI-806,Mumbai,Early_Morning,one,Late_Night,Bangalore,Economy,16.17,37.0,6502
24,SpiceJet,SG-611,Mumbai,Early_Morning,zero,Early_Morning,Chennai,Economy,,2.0,14238
25,Air_India,AI-770,Kolkata,Night,one,Morning,Chennai,Economy,12.42,25.0,5704
26,Vistara,UK-776,Kolkata,Evening,one,Early_Morning,Hyderabad,Economy,14.25,18.0,8118
27,Air_India,AI-508,Hyderabad,Afternoon,one,Night,Delhi,Business,10.83,33.0,44583
28,SpiceJet,SG-276,Mumbai,Early_Morning,one,Morning,Delhi,Economy,4.75,35.0,3753
29,AirAsia,I5-972,Hyderabad,Evening,one,Late_Night,Mumbai,Economy,8.17,12.0,4449
30,Vistara,UK-899,Delhi,Afternoon,,Morning,Mumbai,Economy,19.25,48.0,5227
31,AirAsia,I5-974,Hyderabad,Night,one,Early_Morning,Mumbai,Economy,9.08,6.0,4449
32,Vistara,UK-994,Mumbai,Morning,one,Night,Kolkata,Economy,12.33,24.0,5949
33,Air_India,AI-762,Delhi,Night,zero,Night,Kolkata,Economy,2.08,22.0,2482
34,Indigo,0.00E+00,Chennai,Early_Morning,one,Evening,Mumbai,Economy,,45.0,2792
35,,G8-292,Bangalore,Night,one,Afternoon,Kolkata,Economy,,44.0,5902
36,Vistara,UK-823,Mumbai,Evening,one,Night,Delhi,Business,,49.0,51372
37,Air_India,AI-619,Mumbai,Night,one,Morning,Delhi,Economy,12.75,20.0,4554
38,GO_FIRST,G8-501,Hyderabad,Early_Morning,one,Evening,Mumbai,Economy,10.67,36.0,5420
39,,AI-721,Kolkata,Afternoon,one,Evening,Delhi,Business,,6.0,34354
40,Air_India,AI-503,Bangalore,Evening,one,Evening,Hyderabad,Business,25.5,31.0,56476
41,AirAsia,I5-768,Delhi,,two_or_more,Night,Kolkata,Economy,7.75,16.0,5275
42,Indigo,6.00E-219,Mumbai,Afternoon,one,Night,Kolkata,Economy,6.33,,10301
43,,UK-870,Hyderabad,Night,one,Afternoon,Mumbai,Business,16.0,,58315
44,Vistara,UK-985,Delhi,Evening,one,Morning,Kolkata,Economy,13.83,,6578
45,Vistara,UK-981,Delhi,Night,one,Evening,Kolkata,Business,19.17,37.0,65529
46,Vistara,UK-994,Mumbai,Morning,one,Night,Hyderabad,Business,12.5,49.0,58125
47,,0.00E+00,Bangalore,Morning,one,Evening,Delhi,Economy,5.92,34.0,4071
48,Vistara,UK-874,Hyderabad,Morning,one,Night,Delhi,Economy,14.5,,10018
49,,SG-612,Chennai,,zero,Night,Mumbai,Economy,2.0,20.0,3150
50,,UK-657,Bangalore,Morning,one,Night,Mumbai,Economy,8.58,41.0,8117
51,Vistara,UK-941,Delhi,,one,Early_Morning,Hyderabad,Economy,15.08,,6172
52,Indigo,0.00E+00,Bangalore,Morning,one,Evening,Delhi,Economy,,14.0,11111
53,Vistara,UK-838,Chennai,Night,one,Afternoon,Mumbai,Economy,16.92,27.0,4637
54,Vistara,UK-820,Bangalore,Evening,one,Night,Mumbai,Business,,29.0,67004
55,Air_India,AI-685,Mumbai,Early_Morning,one,Evening,Delhi,Business,11.67,42.0,47205
56,SpiceJet,SG-612,Chennai,Night,one,Morning,Delhi,Economy,11.75,43.0,4827
57,AirAsia,I5-792,Delhi,Afternoon,,Late_Night,Bangalore,Economy,12.0,22.0,3090
58,Air_India,AI-538,Chennai,Night,zero,Night,Delhi,Economy,2.83,39.0,2271
59,Air_India,AI-774,Mumbai,Night,one,Night,Hyderabad,Business,24.33,17.0,50868
60,Air_India,AI-770,Kolkata,Night,one,Afternoon,Chennai,Business,16.17,40.0,55983
61,Air_India,AI-698,Hyderabad,Night,one,Afternoon,Delhi,Economy,14.0,23.0,5437
62,Vistara,UK-994,Mumbai,Morning,one,Evening,Kolkata,Business,7.67,34.0,62045
63,Air_India,AI-805,Delhi,,one,Early_Morning,Hyderabad,Economy,11.25,20.0,4209
64,AirAsia,I5-588,Kolkata,,one,Night,Delhi,Economy,8.75,14.0,5953
65,Vistara,UK-880,Hyderabad,,one,Night,Bangalore,Business,9.92,9.0,63277
66,Vistara,UK-960,Mumbai,Morning,one,Night,Chennai,Economy,8.33,30.0,4348
67,Air_India,AI-442,Mumbai,Afternoon,one,Morning,Chennai,Business,17.33,28.0,49613
68,SpiceJet,SG-8264,Kolkata,Night,one,Morning,Mumbai,Economy,11.67,39.0,6099
69,GO_FIRST,G8-331,Mumbai,Morning,one,Night,Delhi,Economy,8.83,24.0,9651
70,Vistara,UK-944,Mumbai,,one,Night,Kolkata,Business,8.08,,87581
71,Vistara,UK-852,Bangalore,Morning,one,Evening,Chennai,Business,10.42,5.0,44280
72,,UK-838,Chennai,Night,one,Morning,Kolkata,Economy,12.5,10.0,13122
73,Vistara,UK-706,Kolkata,Morning,two_or_more,Evening,Chennai,Economy,33.67,,18425
74,Vistara,UK-826,Chennai,Afternoon,one,Early_Morning,Bangalore,Economy,19.33,41.0,4755
75,,UK-816,Bangalore,Morning,one,Night,Mumbai,Economy,12.33,48.0,6568
76,Indigo,0.00E+00,Mumbai,Afternoon,one,Night,Kolkata,Economy,7.5,,3980
77,Vistara,UK-832,Chennai,Early_Morning,one,Night,Mumbai,Business,15.08,,69713
78,Air_India,AI-635,Mumbai,Early_Morning,,Morning,Delhi,Business,3.67,9.0,22140
79,Air_India,AI-868,Delhi,,one,Night,Kolkata,Economy,5.67,,6120
80,Air_India,AI-505,Bangalore,Morning,one,Night,Mumbai,Business,11.17,37.0,54684
81,Indigo,0.00E+00,Bangalore,Night,one,Late_Night,Delhi,Economy,5.92,45.0,3782
82,Air_India,AI-663,Mumbai,,one,Night,Bangalore,Economy,9.08,30.0,5460
83,Air_India,AI-640,Bangalore,Early_Morning,one,Night,Hyderabad,Economy,14.83,20.0,4255
